symbol,stockPrices
XNSE/NSIL,Nalwa Sons Investments Ltd. (NSIL) Adjusted Stock Prices
XNSE/FINPIPE,Finolex Industries Ltd. (FINPIPE) Adjusted Stock Prices
XNSE/DUNCANSLTD,Duncans Industries Ltd. (DUNCANSLTD) Adjusted Stock Prices
XNSE/ATNINTER,ATN International Ltd. (ATNINTER) Adjusted Stock Prices
XNSE/MOSERBAER,Moser Baer India Ltd. (MOSERBAER) Adjusted Stock Prices
XNSE/TAKE,Take Solutions Ltd. (TAKE) Adjusted Stock Prices
XNSE/GICHSGFIN,GIC Housing Finance Ltd. (GICHSGFIN) Adjusted Stock Prices
XNSE/VSSL,Vardhman Special Steels Ltd. (VSSL) Adjusted Stock Prices
XNSE/PANAMAPET,Panama Petrochem Ltd. (PANAMAPET) Adjusted Stock Prices
XNSE/KWALITY,Kwality Ltd (KWALITY) Adjusted Stock Prices
XNSE/PFC,Power Finance Corporation Ltd. (PFC) Adjusted Stock Prices
XNSE/RELNV20,Reliance Nippon Life Asset Management Ltd. (RELNV20) Adjusted Stock Prices
XNSE/PRAKASHCON,Prakash Constrowell Ltd (PRAKASHCON) Adjusted Stock Prices
XNSE/MOHOTAMILL,Raisaheb Rekhchand Mohota Spinning & Weaving Mills (MOHOTAMILL) Adjusted Stock Prices
XNSE/NEULANDLAB,Neuland Laboratories Ltd. (NEULANDLAB) Adjusted Stock Prices
XNSE/MFIDFCD1296,IDFC Asset Management Company Limited (MFIDFCD1296) Adjusted Stock Prices
XNSE/E1ORIENTPPR,Orient Paper & Industries Ltd. (E1ORIENTPPR) Adjusted Stock Prices
XNSE/VISASTEEL,Visa Steel Ltd. (VISASTEEL) Adjusted Stock Prices
XNSE/PRADIP,Pradip Overseas Ltd. (PRADIP) Adjusted Stock Prices
XNSE/HDIL,Housing Development & Infrastructure Ltd. (HDIL) Adjusted Stock Prices
XNSE/NAHARPOLY,Nahar Poly Films Ltd (NAHARPOLY) Adjusted Stock Prices
XNSE/WELCORP,Welspun Corp Ltd. (WELCORP) Adjusted Stock Prices
XNSE/N2IDFC,IDFC Ltd (N2IDFC) Adjusted Stock Prices
XNSE/MADRASFERT,Madras Fertilizers Ltd. (MADRASFERT) Adjusted Stock Prices
XNSE/EVERONN,Everonn Education Ltd (EVERONN) Adjusted Stock Prices
XNSE/MBLINFRA,MBL Infrastructures Limited (MBLINFRA) Adjusted Stock Prices
XNSE/PAREKHPLAT,Parekh Platinum Ltd. (PAREKHPLAT) Adjusted Stock Prices
XNSE/HCLTECH,HCL Technologies Ltd. (HCLTECH) Adjusted Stock Prices
XNSE/RAIN,Rain Industries Ltd (RAIN) Adjusted Stock Prices
XNSE/W1NETWORK18,Network 18 Media & Investments Ltd. (W1NETWORK18) Adjusted Stock Prices
XNSE/N7IDFC,IDFC Ltd (N7IDFC) Adjusted Stock Prices
XNSE/N2HUDCO,Housing & Urban Development Corporation. (N2HUDCO) Adjusted Stock Prices
XNSE/BHARTIARTL,Bharti Airtel Ltd. (BHARTIARTL) Adjusted Stock Prices
XNSE/LAOPALA,La Opala RG Ltd. (LAOPALA) Adjusted Stock Prices
XNSE/N3RELIFIN,Religare Finvest Limited (N3RELIFIN) Adjusted Stock Prices
XNSE/GLAXO,GlaxoSmithkline Pharmaceuticals Ltd (GLAXO) Adjusted Stock Prices
XNSE/TECPRO,Tecpro Systems Ltd (TECPRO) Adjusted Stock Prices
XNSE/SMPL,Splendid Metal Products Ltd. (SMPL) Adjusted Stock Prices
XNSE/COSMOFILMS,Cosmo Films Ltd. (COSMOFILMS) Adjusted Stock Prices
XNSE/E1SPARC,Sun Pharma Advanced Research Co. Ltd (E1SPARC) Adjusted Stock Prices
XNSE/GULFPETRO,GP Petroleums Ltd. (GULFPETRO) Adjusted Stock Prices
XNSE/DENABANK,Dena Bank (DENABANK) Adjusted Stock Prices
XNSE/TARMAT,Tarmat Ltd (TARMAT) Adjusted Stock Prices
XNSE/Q1TATASTEEL,Tata Steel Ltd.
XNSE/BANSWRAS,Banswara Syntex Ltd. (BANSWRAS) Adjusted Stock Prices
XNSE/JUMBO,Jumbo Bag Ltd.
XNSE/MFFTFTF16GR,Franklin Templeton Asset Management (India) Private Limited (MFFTFTF16GR) Adjusted Stock Prices
XNSE/RNRL,Reliance Natural Resources Ltd. (RNRL) Adjusted Stock Prices
XNSE/SMLISUZU,SML Isuzu Ltd (SMLISUZU) Adjusted Stock Prices
XNSE/TARAPUR,Tarapur Transformers Ltd. (TARAPUR) Adjusted Stock Prices
XNSE/MFIPRU1795,ICICI Prudential Asset Management Company Ltd. (MFIPRU1795) Adjusted Stock Prices
XNSE/AROGRANITE,Aro Granite Industries Ltd. (AROGRANITE) Adjusted Stock Prices
XNSE/BSLGOLDETF,Birla Sun Life Asset Management Company Ltd (BSLGOLDETF) Adjusted Stock Prices
XNSE/CCCL,Consolidated Construction Consortium Ltd. (CCCL) Adjusted Stock Prices
XNSE/PNB,Punjab National Bank (PNB) Adjusted Stock Prices
XNSE/PLASTIBLEN,Plastiblends India Ltd. (PLASTIBLEN) Adjusted Stock Prices
XNSE/JUSTDIAL,Just Dial Ltd (JUSTDIAL) Adjusted Stock Prices
XNSE/MFIPRU8470,ICICI Prudential Asset Management Company Ltd. (MFIPRU8470) Adjusted Stock Prices
XNSE/AUTOLITIND,Autolite (India) Ltd. (AUTOLITIND) Adjusted Stock Prices
XNSE/P2JSWSTEEL,JSW Steel Ltd. (P2JSWSTEEL) Adjusted Stock Prices
XNSE/MFDWSHYD13GP,DHFL Pramerica Asset Managers Private Limited (MFDWSHYD13GP) Adjusted Stock Prices
XNSE/TATAPOWER,Tata Power Co. Ltd. (TATAPOWER) Adjusted Stock Prices
XNSE/MAXWELL,VIP Clothing Ltd. (MAXWELL) Adjusted Stock Prices
XNSE/AZTECSOFT,Aztecsoft Ltd
XNSE/ITHECINFRA,HEC Infra Projects Ltd (ITHECINFRA) Adjusted Stock Prices
XNSE/V2RETAIL,V2 Retail Ltd (V2RETAIL) Adjusted Stock Prices
XNSE/ATLANTA,Atlanta Ltd. (ATLANTA) Adjusted Stock Prices
XNSE/PLETHICO,Plethico Pharmaceuticals Ltd. (PLETHICO) Adjusted Stock Prices
XNSE/DUCON,Ducon Infratechnologies Ltd. (DUCON) Adjusted Stock Prices
XNSE/ORISSAMINE,Orissa Minerals Development Co Ltd (ORISSAMINE) Adjusted Stock Prices
XNSE/IMFA,Indian Metals & Ferro Alloys Ltd. (IMFA) Adjusted Stock Prices
XNSE/CINEVISTA,Cinevista Ltd (CINEVISTA) Adjusted Stock Prices
XNSE/COMSYS,Compulink Systems Ltd.
XNSE/NETWORK18,Network 18 Media & Investments Ltd. (NETWORK18) Adjusted Stock Prices
XNSE/FMNL,Future Market Networks Ltd (FMNL) Adjusted Stock Prices
XNSE/IOLN,IOL Netcom Ltd. (IOLN) Adjusted Stock Prices
XNSE/OCTAV,Octav Investments Ltd (OCTAV) Adjusted Stock Prices
XNSE/MANAKSIA,Manaksia Ltd. (MANAKSIA) Adjusted Stock Prices
XNSE/BRFL,Bombay Rayon Fashions Ltd. (BRFL) Adjusted Stock Prices
XNSE/ECEIND,ECE Industries Ltd. (ECEIND) Adjusted Stock Prices
XNSE/VRLLOG,VRL Logistics Ltd (VRLLOG) Adjusted Stock Prices
XNSE/ACC,ACC Ltd (ACC) Adjusted Stock Prices
XNSE/W2BHARATFORG,Bharat Forge Ltd. (W2BHARATFORG) Adjusted Stock Prices
XNSE/CENTENKA,Century Enka Ltd. (CENTENKA) Adjusted Stock Prices
XNSE/SMMITCON,MITCON Consultancy & Engineering Services Ltd (SMMITCON) Adjusted Stock Prices
XNSE/HINDCOMPOS,Hindustan Composites Ltd. (HINDCOMPOS) Adjusted Stock Prices
XNSE/TTKHEALTH,TTK Healthcare Ltd.
XNSE/N4IDFC,IDFC Ltd (N4IDFC) Adjusted Stock Prices
XNSE/NETFINCO,Netflier Finco Ltd. (NETFINCO) Adjusted Stock Prices
XNSE/CUMMINSIND,Cummins India Ltd. (CUMMINSIND) Adjusted Stock Prices
XNSE/KOTAKBKETF,Kotak Mahindra Asset Management Company Ltd (KOTAKBKETF) Adjusted Stock Prices
XNSE/CAROLINFO,Carol Info Services Ltd
XNSE/UCALFUEL,UCAL Fuel Systems Ltd. (UCALFUEL) Adjusted Stock Prices
XNSE/VARDMNPOLY,Vardhman Polytex Ltd. (VARDMNPOLY) Adjusted Stock Prices
XNSE/TODAYS,Today`s Writing Instruments Ltd (TODAYS) Adjusted Stock Prices
XNSE/VLSFINANCE,VLS Finance Ltd. (VLSFINANCE) Adjusted Stock Prices
XNSE/SUNDARAM,Sundaram Multi Pap Ltd. (SUNDARAM) Adjusted Stock Prices
XNSE/PSL,PSL Ltd. (PSL) Adjusted Stock Prices
XNSE/MOTILALOFS,Motilal Oswal Financial Services Ltd. (MOTILALOFS) Adjusted Stock Prices
XNSE/KEI,KEI Industries Ltd. (KEI) Adjusted Stock Prices
XNSE/INNOIND,Innoventive Industries Ltd (INNOIND) Adjusted Stock Prices
XNSE/HINDPETRO,Hindustan Petroleum Corporation Ltd. (HINDPETRO) Adjusted Stock Prices
XNSE/MAGMA,Magma Fincorp Ltd (MAGMA) Adjusted Stock Prices
XNSE/SHYAMTEL,Shyam Telecom Ltd. (SHYAMTEL) Adjusted Stock Prices
XNSE/SHREERAMA,Shree Rama Multi-Tech Ltd. (SHREERAMA) Adjusted Stock Prices
XNSE/MALUPAPER,Malu Paper Mills Ltd. (MALUPAPER) Adjusted Stock Prices
XNSE/JSWISPAT,JSW ISPAT Steel Ltd (JSWISPAT) Adjusted Stock Prices
XNSE/JUBLINDS,Jubilant Industries Ltd (JUBLINDS) Adjusted Stock Prices
XNSE/CRESTANI,Crest Animation Studios Ltd. (CRESTANI) Adjusted Stock Prices
XNSE/EVERESTIND,Everest Industries Ltd. (EVERESTIND) Adjusted Stock Prices
XNSE/N1NHAI,National Highways Authority of India (N1NHAI) Adjusted Stock Prices
XNSE/KOTAKPSUBK,Kotak Mahindra Asset Management Company Ltd (KOTAKPSUBK) Adjusted Stock Prices
XNSE/BPL,BPL Ltd. (BPL) Adjusted Stock Prices
XNSE/STERLINBIO,Sterling Biotech Ltd. (STERLINBIO) Adjusted Stock Prices
XNSE/KAKATCEM,Kakatiya Cement Sugar & Industries Ltd. (KAKATCEM) Adjusted Stock Prices
XNSE/SANGAMIND,Sangam (India) Ltd. (SANGAMIND) Adjusted Stock Prices
XNSE/ASIANTILES,Asian Granito India Ltd. (ASIANTILES) Adjusted Stock Prices
XNSE/WINSOMEDJ,Su-Raj Diamonds & Jewellery Ltd
XNSE/EVINIX,Evinix Accessories Ltd.
XNSE/HINDUJAFO,Hinduja Foundries Ltd. (HINDUJAFO) Adjusted Stock Prices
XNSE/UBL,United Breweries Ltd (UBL) Adjusted Stock Prices
XNSE/MFSDF36M6GR,SBI Funds Management Private Limited (MFSDF36M6GR) Adjusted Stock Prices
XNSE/MONNETISPA,Monnet Ispat & Energy Ltd. (MONNETISPA) Adjusted Stock Prices
XNSE/MUKANDLTD,Mukand Ltd. (MUKANDLTD) Adjusted Stock Prices
XNSE/SRTRANSFIN,Shriram Transport Finance Co. Ltd. (SRTRANSFIN) Adjusted Stock Prices
XNSE/MFBSLFTPLLRG,Birla Sun Life Asset Management Company Ltd (MFBSLFTPLLRG) Adjusted Stock Prices
XNSE/BANKBEES,Goldman Sachs Asset Management (India) Pvt. Ltd. (BANKBEES) Adjusted Stock Prices
XNSE/SIRPAPER,Sirpur Paper Mills Ltd. (SIRPAPER) Adjusted Stock Prices
XNSE/N5HUDCO,Housing & Urban Development Corporation. (N5HUDCO) Adjusted Stock Prices
XNSE/VARUN,Varun Industries Ltd.
XNSE/GEPIL,GE Power India Ltd (GEPIL) Adjusted Stock Prices
XNSE/PSB,Punjab & Sind Bank (PSB) Adjusted Stock Prices
XNSE/SUPREMETEX,Supreme Tex mart Ltd (SUPREMETEX) Adjusted Stock Prices
XNSE/JISLJALEQS,Jain Irrigation Systems Ltd. (JISLJALEQS) Adjusted Stock Prices
XNSE/HITECHCORP,Hitech Corporation Ltd. (HITECHCORP) Adjusted Stock Prices
XNSE/KPRMILL,K.P.R. Mill Ltd. (KPRMILL) Adjusted Stock Prices
XNSE/N6NHPC,NHPC Limited (N6NHPC) Adjusted Stock Prices
XNSE/SEPOWER,S.E. Power Ltd (SEPOWER) Adjusted Stock Prices
XNSE/GODAVRFERT,Godavari Fertilisers & Chemicals Ltd.
XNSE/MFHCPO36MSRG,HDFC Asset Management Company Ltd. (MFHCPO36MSRG) Adjusted Stock Prices
XNSE/GILLANDERS,Gillanders Arbuthnot & Co. Ltd. (GILLANDERS) Adjusted Stock Prices
XNSE/MIRZAINT,Mirza International Ltd. (MIRZAINT) Adjusted Stock Prices
XNSE/SIMPLEXCAS,Simplex Castings Ltd.
XNSE/RPOWER,Reliance Power Ltd (RPOWER) Adjusted Stock Prices
XNSE/MFLTMFDE369G,L&T Investment Management Limited (MFLTMFDE369G) Adjusted Stock Prices
XNSE/CHESLINTEX,Cheslind Textiles Ltd. (CHESLINTEX) Adjusted Stock Prices
XNSE/N5IRFC,Indian Railway Finance Corp (N5IRFC) Adjusted Stock Prices
XNSE/SYMPHONY,Symphony Ltd. (SYMPHONY) Adjusted Stock Prices
XNSE/SHAHALLOYS,Shah Alloys Ltd. (SHAHALLOYS) Adjusted Stock Prices
XNSE/HOTELEELA,Hotel Leelaventure Ltd. (HOTELEELA) Adjusted Stock Prices
XNSE/RUSHIL,Rushil Decor Ltd (RUSHIL) Adjusted Stock Prices
XNSE/LUMAXTECH,Lumax Auto Technologies Ltd. (LUMAXTECH) Adjusted Stock Prices
XNSE/MHRIL,Mahindra Holidays & Resorts India Limited (MHRIL) Adjusted Stock Prices
XNSE/AHLWEST,Asian Hotels (West) Ltd (AHLWEST) Adjusted Stock Prices
XNSE/CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd. (CHAMBLFERT) Adjusted Stock Prices
XNSE/ROHITFERRO,Rohit Ferro-Tech Ltd. (ROHITFERRO) Adjusted Stock Prices
XNSE/ESCORTS,Escorts Ltd. (ESCORTS) Adjusted Stock Prices
XNSE/TANFACIND,TANFAC Industries Ltd.
XNSE/SASTASUNDR,Sastasundar Ventures Ltd. (SASTASUNDR) Adjusted Stock Prices
XNSE/AMBIKCO,Ambika Cotton Mills Ltd. (AMBIKCO) Adjusted Stock Prices
XNSE/PVR,PVR Ltd. (PVR) Adjusted Stock Prices
XNSE/M_MFIN,Mahindra & Mahindra Financial Services Ltd. (M_MFIN) Adjusted Stock Prices
XNSE/ASAL,Automotive Stampings & Assemblies Ltd. (ASAL) Adjusted Stock Prices
XNSE/PROVOGE,Provogue (India) Ltd. (PROVOGE) Adjusted Stock Prices
XNSE/TVSMOTOR,TVS Motor Co Ltd. (TVSMOTOR) Adjusted Stock Prices
XNSE/KALPATPOWR,Kalpataru Power Transmission Ltd. (KALPATPOWR) Adjusted Stock Prices
XNSE/BALASTEELS,Shri Ramrupai Balaji Steels Ltd. (BALASTEELS) Adjusted Stock Prices
XNSE/NDSRTRANSFIN,Shriram Transport Finance Co. Ltd. (NDSRTRANSFIN) Adjusted Stock Prices
XNSE/MUKANDENGG,Mukand Engineers Ltd. (MUKANDENGG) Adjusted Stock Prices
XNSE/JINDALPOLY,Jindal Poly Films Ltd. (JINDALPOLY) Adjusted Stock Prices
XNSE/RUCHINFRA,Ruchi Infrastructure Ltd. (RUCHINFRA) Adjusted Stock Prices
XNSE/ORTEL,Ortel Communications Ltd. (ORTEL) Adjusted Stock Prices
XNSE/ONELIFECAP,OneLife Capital Advisors Ltd (ONELIFECAP) Adjusted Stock Prices
XNSE/DAAWAT,LT Foods Ltd. (DAAWAT) Adjusted Stock Prices
XNSE/N1RECLTD,Rural Electrification Corporation Ltd (N1RECLTD) Adjusted Stock Prices
XNSE/DCMFINSERV,DCM Financial Services Ltd. (DCMFINSERV) Adjusted Stock Prices
XNSE/SMEMKAYTOOLS,Emkay Taps & Cutting Tools Ltd. (SMEMKAYTOOLS) Adjusted Stock Prices
XNSE/PUNJLLOYD,Punj Lloyd Ltd. (PUNJLLOYD) Adjusted Stock Prices
XNSE/TULSYAN,Tulsyan NEC Ltd.
XNSE/AMTEKAUTO,Amtek Auto Ltd. (AMTEKAUTO) Adjusted Stock Prices
XNSE/WIPRO,Wipro Ltd. (WIPRO) Adjusted Stock Prices
XNSE/CORAL_HUB,Coral Hub Ltd.
XNSE/E1ALOKTEXT,Alok Industries Ltd. (E1ALOKTEXT) Adjusted Stock Prices
XNSE/MFDWSHYD5GR,Deutsche Asset Management (India) Pvt Ltd (MFDWSHYD5GR) Adjusted Stock Prices
XNSE/RELAXO,Relaxo Footwears Ltd. (RELAXO) Adjusted Stock Prices
XNSE/LYPSAGEMS,Lypsa Gems & Jewellery Ltd (LYPSAGEMS) Adjusted Stock Prices
XNSE/INOXWIND,Inox Wind Ltd (INOXWIND) Adjusted Stock Prices
XNSE/RIIL,Reliance Industrial Infrastructure Ltd. (RIIL) Adjusted Stock Prices
XNSE/BBL,Bharat Bijlee Ltd. (BBL) Adjusted Stock Prices
XNSE/DALMIABHA,Dalmia Bharat Ltd (DALMIABHA) Adjusted Stock Prices
XNSE/INDUSINDBK,IndusInd Bank Ltd. (INDUSINDBK) Adjusted Stock Prices
XNSE/DQE,DQ Entertainment (International) Ltd. (DQE) Adjusted Stock Prices
XNSE/SAMTEL,Samtel Color Ltd. (SAMTEL) Adjusted Stock Prices
XNSE/SPIC,Southern Petrochemicals Industries Corporation Ltd (SPIC) Adjusted Stock Prices
XNSE/W1MORARJETEX,Morarjee Textiles Ltd. (W1MORARJETEX) Adjusted Stock Prices
XNSE/SUPRAJIT,Suprajit Engineering Ltd. (SUPRAJIT) Adjusted Stock Prices
XNSE/PDSMFL,PDS Multinational Fashions Ltd (PDSMFL) Adjusted Stock Prices
XNSE/SOUTHBANK,South Indian Bank Ltd. (SOUTHBANK) Adjusted Stock Prices
XNSE/SRGINFOTEC,PAN India Corporation Ltd. (SRGINFOTEC) Adjusted Stock Prices
XNSE/VISESHINFO,MPS Infotecnics Ltd. (VISESHINFO) Adjusted Stock Prices
XNSE/ELNET,Elnet Technologies Ltd.
XNSE/ALPSINDUS,Alps Industries Ltd. (ALPSINDUS) Adjusted Stock Prices
XNSE/MUKTAARTS,Mukta Arts Ltd. (MUKTAARTS) Adjusted Stock Prices
XNSE/TATASPONGE,Tata Sponge Iron Ltd. (TATASPONGE) Adjusted Stock Prices
XNSE/STER,Sterlite Industries (India) Ltd.
XNSE/TVTODAY,TV Today Network (TVTODAY) Adjusted Stock Prices
XNSE/ZENSARTECH,Zensar Technologies Ltd. (ZENSARTECH) Adjusted Stock Prices
XNSE/BLUESTINFO,Blue Star Infotech Ltd. (BLUESTINFO) Adjusted Stock Prices
XNSE/HCIL,Himadri Speciality Chemical Ltd. (HCIL) Adjusted Stock Prices
XNSE/M100,Motilal Oswal Asset Management Company Limited (M100) Adjusted Stock Prices
XNSE/PILANIINV,Pilani Investment & Industries Corporation Ltd
XNSE/MANINDS,Man Industries (India) Ltd. (MANINDS) Adjusted Stock Prices
XNSE/BRITANNIA,Britannia Industries Ltd. (BRITANNIA) Adjusted Stock Prices
XNSE/ORBITCORP,Orbit Corporation Ltd. (ORBITCORP) Adjusted Stock Prices
XNSE/IFL,India Foils Ltd. (IFL) Adjusted Stock Prices
XNSE/W1INDHOTEL,Indian Hotels Co. Ltd. (W1INDHOTEL) Adjusted Stock Prices
XNSE/JENSONICOL,Jenson & Nicholson (India) Ltd. (JENSONICOL) Adjusted Stock Prices
XNSE/SUMEETINDS,Sumeet Industries Ltd. (SUMEETINDS) Adjusted Stock Prices
XNSE/IVC,IL & FS Investment Managers Ltd. (IVC) Adjusted Stock Prices
XNSE/NAVINFLUOR,Navin Fluorine International Ltd. (NAVINFLUOR) Adjusted Stock Prices
XNSE/KOPDRUGS,KDL Biotech Ltd. (KOPDRUGS) Adjusted Stock Prices
XNSE/RUCHISOYA,Ruchi Soya Industries Ltd. (RUCHISOYA) Adjusted Stock Prices
XNSE/STYABS,INEOS Styrolution India Ltd. (STYABS) Adjusted Stock Prices
XNSE/MALWACOTT,Malwa Cotton Spinning Mills Ltd. (MALWACOTT) Adjusted Stock Prices
XNSE/N4INDHOTEL,Indian Hotels Co. Ltd. (N4INDHOTEL) Adjusted Stock Prices
XNSE/CHI,CHI Investments Ltd (CHI) (CHI) Adjusted Stock Prices
XNSE/PPAP,PPAP Automotive Ltd. (PPAP) Adjusted Stock Prices
XNSE/JUBILANT,Jubilant Life Sciences Ltd (JUBILANT) Adjusted Stock Prices
XNSE/TINPLATE,Tinplate Company of India Ltd. (TINPLATE) Adjusted Stock Prices
XNSE/IRB,IRB Infrastructure Developers Ltd (IRB) Adjusted Stock Prices
XNSE/E5KARURVYSYA,Karur Vysya Bank Ltd. (E5KARURVYSYA) Adjusted Stock Prices
XNSE/UCOBANK,UCO Bank (UCOBANK) Adjusted Stock Prices
XNSE/PANACEABIO,Panacea Biotec Ltd. (PANACEABIO) Adjusted Stock Prices
XNSE/W1CHOLADBS,Cholamandalam Investment and Finance Company Ltd. (W1CHOLADBS) Adjusted Stock Prices
XNSE/SPMLINFRA,SPML Infra Ltd. (SPMLINFRA) Adjusted Stock Prices
XNSE/KRITIIND,Kriti Industries (India) Ltd.
XNSE/N8RECLTD,Rural Electrification Corporation Ltd (N8RECLTD) Adjusted Stock Prices
XNSE/AVTNPL,AVT Natural Products Ltd. (AVTNPL) Adjusted Stock Prices
XNSE/EMAMILTD,Emami Ltd. (EMAMILTD) Adjusted Stock Prices
XNSE/ITGIRRESORTS,GIR Natureview Resorts Ltd. (ITGIRRESORTS) Adjusted Stock Prices
XNSE/MANAKINDST,Manaksia Industries Ltd. (MANAKINDST) Adjusted Stock Prices
XNSE/MCDHOLDING,McDowell Holdings Ltd (MCDHOLDING) Adjusted Stock Prices
XNSE/N3SRTRANSFIN,Shriram Transport Finance Co. Ltd. (N3SRTRANSFIN) Adjusted Stock Prices
XNSE/MFBSLFTPDAG,Birla Sun Life Asset Management Company Ltd (MFBSLFTPDAG) Adjusted Stock Prices
XNSE/KIRLOSBROS,Kirloskar Brothers Ltd. (KIRLOSBROS) Adjusted Stock Prices
XNSE/CEBBCO,Commercial Engineers & Body Builders Co Limited (CEBBCO) Adjusted Stock Prices
XNSE/WELSPUNIND,Welspun India Ltd. (WELSPUNIND) Adjusted Stock Prices
XNSE/MFUFTFGR17P4,UTI Asset Management Company Ltd (MFUFTFGR17P4) Adjusted Stock Prices
XNSE/N3L_TFINANCE,L&T Finance Limited. (N3L.TFINANCE) Adjusted Stock Prices
XNSE/CINELINE,Cineline India Ltd (CINELINE) Adjusted Stock Prices
XNSE/N9RECLTD,Rural Electrification Corporation Ltd (N9RECLTD) Adjusted Stock Prices
XNSE/ESSDEE,Ess Dee Aluminium Ltd. (ESSDEE) Adjusted Stock Prices
XNSE/ZUARIGLOB,Zuari Global Ltd (ZUARIGLOB) Adjusted Stock Prices
XNSE/N2IRFC,Indian Railway Finance Corp (N2IRFC) Adjusted Stock Prices
XNSE/KOHINOOR,Kohinoor Foods Ltd. (KOHINOOR) Adjusted Stock Prices
XNSE/TCI,Transport Corporation of India Ltd. (TCI) Adjusted Stock Prices
XNSE/LYCOS,Lycos Internet Ltd. (LYCOS) Adjusted Stock Prices
XNSE/QNIFTY,Quantum Asset Management Co Pvt Ltd (QNIFTY) Adjusted Stock Prices
XNSE/HIRAFERRO,Hira Ferro Alloys Ltd
XNSE/SUPER,Super Sales India Ltd.
XNSE/HOCL,Hindustan Organic Chemicals Ltd. (HOCL) Adjusted Stock Prices
XNSE/THERMAX,Thermax Ltd. (THERMAX) Adjusted Stock Prices
XNSE/TATAINVEST,Tata Investment Corporation Ltd. (TATAINVEST) Adjusted Stock Prices
XNSE/DCHL,Deccan Chronicle Holdings Ltd.
XNSE/SREEL,Sreeleathers Ltd (SREEL) Adjusted Stock Prices
XNSE/IBULHSGFIN,Indiabulls Housing Finance Limited (IBULHSGFIN) Adjusted Stock Prices
XNSE/OPTOCIRCUI,Opto Circuits (India) Ltd. (OPTOCIRCUI) Adjusted Stock Prices
XNSE/IOC,Indian Oil Corporation Ltd. (IOC) Adjusted Stock Prices
XNSE/SHARDACROP,Sharda Cropchem Ltd. (SHARDACROP) Adjusted Stock Prices
XNSE/ASTRAMICRO,Astra Microwave Products Ltd. (ASTRAMICRO) Adjusted Stock Prices
XNSE/GTL,GTL Ltd. (GTL) Adjusted Stock Prices
XNSE/VAKRANGEE,Vakrangee Ltd (VAKRANGEE) Adjusted Stock Prices
XNSE/E1WWIL,Siti Cable Network Ltd. (E1WWIL) Adjusted Stock Prices
XNSE/W2HDFC,Housing Development Finance Corporation Ltd. (W2HDFC) Adjusted Stock Prices
XNSE/NIITTECH,NIIT Technologies Ltd. (NIITTECH) Adjusted Stock Prices
XNSE/SUPREMEIND,Supreme Industries Ltd. (SUPREMEIND) Adjusted Stock Prices
XNSE/SCHNEIDER,Schneider Electric Infrastructure Ltd (SCHNEIDER) Adjusted Stock Prices
XNSE/AMARAJABAT,Amara Raja Batteries Ltd. (AMARAJABAT) Adjusted Stock Prices
XNSE/N2RECLTD,Rural Electrification Corporation Ltd (N2RECLTD) Adjusted Stock Prices
XNSE/BPCL,Bharat Petroleum Corporation Ltd. (BPCL) Adjusted Stock Prices
XNSE/3IINFOTECH,3i Infotech Ltd. (3IINFOTECH) Adjusted Stock Prices
XNSE/RAMCOCEM,Ramco Cements Ltd (RAMCOCEM) Adjusted Stock Prices
XNSE/IDBI,IDBI Bank Ltd (IDBI) Adjusted Stock Prices
XNSE/SUPERSPIN,Super Spinning Mills Ltd. (SUPERSPIN) Adjusted Stock Prices
XNSE/NTSRTRANSFIN,Shriram Transport Finance Co. Ltd. (NTSRTRANSFIN) Adjusted Stock Prices
XNSE/MFUTRGESSDDP,UTI Asset Management Company Ltd (MFUTRGESSDDP) Adjusted Stock Prices
XNSE/LT,Larsen & Toubro Ltd. (LT) Adjusted Stock Prices
XNSE/TAINWALCHM,Tainwala Chemicals & Plastics (I) Ltd. (TAINWALCHM) Adjusted Stock Prices
XNSE/SUDAR,Sudar Industries Ltd (SUDAR) Adjusted Stock Prices
XNSE/CROMPGREAV,CG Power & Industrial Solutions Ltd. (CROMPGREAV) Adjusted Stock Prices
XNSE/BASML,Bannari Amman Spinning Mills Ltd. (BASML) Adjusted Stock Prices
XNSE/KOPRAN,Kopran Ltd. (KOPRAN) Adjusted Stock Prices
XNSE/DISHTV,Dish TV India Ltd (DISHTV) Adjusted Stock Prices
XNSE/GRINDWELL,Grindwell Norton Ltd. (GRINDWELL) Adjusted Stock Prices
XNSE/ADVANIHOTR,Advani Hotels & Resorts (India) Ltd. (ADVANIHOTR) Adjusted Stock Prices
XNSE/THIRUSUGAR,Thiru Arooran Sugars Ltd. (THIRUSUGAR) Adjusted Stock Prices
XNSE/MFFTFTF12CGR,Franklin Templeton Asset Management (India) Private Limited (MFFTFTF12CGR) Adjusted Stock Prices
XNSE/KOTAKNIFTY,Kotak Mahindra Asset Management Company Ltd (KOTAKNIFTY) Adjusted Stock Prices
XNSE/KITPLYIND,Kitply Industries Ltd. (KITPLYIND) Adjusted Stock Prices
XNSE/HEXAWARE,Hexaware Technologies Ltd. (HEXAWARE) Adjusted Stock Prices
XNSE/ULTRACEMCO,UltraTech Cement Ltd. (ULTRACEMCO) Adjusted Stock Prices
XNSE/CEATLTD,Ceat Ltd. (CEATLTD) Adjusted Stock Prices
XNSE/DHFL,Dewan Housing Finance Corporation Ltd. (DHFL) Adjusted Stock Prices
XNSE/AQUA,Aqua Logistics Limited
